,true_latency_s
cluster_8_4675979#35980a77-2b55-4ce4-975a-cf630e365789,64.77989127981283
cluster_8_4675991#35980a77-2b55-4ce4-975a-cf630e365789,63.48326870761749
cluster_8_4676006#35980a77-2b55-4ce4-975a-cf630e365789,20.783867086067147
cluster_8_4676021#35980a77-2b55-4ce4-975a-cf630e365789,143.0523407802092
cluster_8_4676026#35980a77-2b55-4ce4-975a-cf630e365789,57.67668173720381
cluster_8_4676043#35980a77-2b55-4ce4-975a-cf630e365789,1.838233946101675
cluster_8_4676063#35980a77-2b55-4ce4-975a-cf630e365789,3.325294865458372
cluster_8_4676070#35980a77-2b55-4ce4-975a-cf630e365789,5.674110173824744
cluster_8_4676080#35980a77-2b55-4ce4-975a-cf630e365789,2.3799779870422255
cluster_8_4676085#35980a77-2b55-4ce4-975a-cf630e365789,32.29908064630895
cluster_8_4676090#35980a77-2b55-4ce4-975a-cf630e365789,6.921969713697992
cluster_8_4676106#35980a77-2b55-4ce4-975a-cf630e365789,10.074856435205033
cluster_8_4676116#35980a77-2b55-4ce4-975a-cf630e365789,10.548384991992634
cluster_8_4676123#35980a77-2b55-4ce4-975a-cf630e365789,176.61414150747817
cluster_8_4676138#35980a77-2b55-4ce4-975a-cf630e365789,20.77548447695119
cluster_8_4676145#35980a77-2b55-4ce4-975a-cf630e365789,86.43993399683741
cluster_8_4676154#35980a77-2b55-4ce4-975a-cf630e365789,29.594033360447163
cluster_8_4676168#35980a77-2b55-4ce4-975a-cf630e365789,165.21581646356393
cluster_8_4676183#35980a77-2b55-4ce4-975a-cf630e365789,157.6164344668643
cluster_8_4676192#35980a77-2b55-4ce4-975a-cf630e365789,238.18126410578967
cluster_8_4676201#35980a77-2b55-4ce4-975a-cf630e365789,13.139190849721805
cluster_8_4676212#35980a77-2b55-4ce4-975a-cf630e365789,8.785820325965373
cluster_8_4676224#35980a77-2b55-4ce4-975a-cf630e365789,101.92133576576629
cluster_8_4676236#35980a77-2b55-4ce4-975a-cf630e365789,40.08952751248781
cluster_8_4676249#35980a77-2b55-4ce4-975a-cf630e365789,864.9889827729695
cluster_8_4676256#35980a77-2b55-4ce4-975a-cf630e365789,4.464200123074644
cluster_8_4676268#35980a77-2b55-4ce4-975a-cf630e365789,8.907014422662503
cluster_8_4676281#35980a77-2b55-4ce4-975a-cf630e365789,229.8218622242156
cluster_8_4676292#35980a77-2b55-4ce4-975a-cf630e365789,1.6518289839801554
