cluster_id,total_queries,num_weeks,median_weekly_queries,weekly_cv,dow_cv,hour_cv,latency_entropy
183,743868,14,55233.0,0.19931868688110735,0.11638095343964075,0.37225296008620434,0.7347530999771231
184,760180,14,46007.5,0.3921218096131453,0.21284706293519468,0.04590913578083975,0.6825255463954613
185,5612854,14,430717.0,0.22435303509723628,0.07037856440178834,0.2853170242240978,0.2865285973947917
186,1710594,14,131770.5,0.321628515282928,0.14241633682703078,0.5426346893591979,0.23667757647335286
187,582186,14,45298.5,0.24917676891450363,0.22881807169687637,1.523563673753793,0.25312430566070965
188,33,4,6.0,0.6288639360110456,0.6288639360110456,0.854416495749799,0.6506931496398046
189,345,6,54.0,0.9345297939219425,0.7030145417523052,0.821315862076811,0.9721550114413189
190,3277,1,3277.0,,,1.0342126727828087,0.6623433997865649
191,9,1,9.0,,,,0.38210225325431013
192,98,1,98.0,,,0.20203050891044216,0.26817982556253117
193,1,1,1.0,,,,-0.0
194,68,1,68.0,,,0.675350735482649,0.42833427535852336
195,6544,1,6544.0,,,1.0322228314318012,0.3934373366945475
196,1412,1,1412.0,,,,-0.0
197,7,1,7.0,,,,-0.0
198,15,1,15.0,,,1.0370899457402696,0.28325475327645266
199,38896,1,38896.0,,,1.1896613472040227,-0.0
