C,Ac,rep,time_s
8,32,0,0.05273638665676117
8,32,1,0.0395330972969532
8,32,2,0.03694424405694008
8,32,3,0.03852837160229683
8,32,4,0.045950714498758316
8,32,5,0.05093630030751228
8,32,6,0.039915937930345535
8,32,7,0.037941206246614456
8,32,8,0.03628511726856232
8,32,9,0.04061758145689964
16,0,0,0.0019617080688476562
16,0,1,0.0015259385108947754
16,0,2,0.0014122463762760162
16,0,3,0.0015743188560009003
16,0,4,0.0030518248677253723
16,0,5,0.002350538969039917
16,0,6,0.002386759966611862
16,0,7,0.002295110374689102
16,0,8,0.002301465719938278
16,0,9,0.002304650843143463
16,1,0,0.014776773750782013
16,1,1,0.008705824613571167
16,1,2,0.008592166006565094
16,1,3,0.008576791733503342
16,1,4,0.008571632206439972
16,1,5,0.00850774347782135
16,1,6,0.008501224219799042
16,1,7,0.008481811732053757
16,1,8,0.008448824286460876
16,1,9,0.008463717997074127
16,2,0,0.012492503970861435
16,2,1,0.011382974684238434
16,2,2,0.011364441365003586
16,2,3,0.011354092508554459
16,2,4,0.011410854756832123
16,2,5,0.011349469423294067
16,2,6,0.011298507452011108
16,2,7,0.011373568326234818
16,2,8,0.01135660707950592
16,2,9,0.011333033442497253
16,4,0,0.017558041960000992
16,4,1,0.016163930296897888
16,4,2,0.014567617326974869
16,4,3,0.01381726935505867
16,4,4,0.01380407065153122
16,4,5,0.013952165842056274
16,4,6,0.013894349336624146
16,4,7,0.013717010617256165
16,4,8,0.013721588999032974
16,4,9,0.013729259371757507
16,8,0,0.02827826887369156
16,8,1,0.03338589146733284
16,8,2,0.02430163323879242
16,8,3,0.023708544671535492
16,8,4,0.023440055549144745
16,8,5,0.02368811145424843
16,8,6,0.024013783782720566
16,8,7,0.02382301166653633
16,8,8,0.023746896535158157
16,8,9,0.02369244024157524
16,16,0,0.041237134486436844
16,16,1,0.046691760420799255
16,16,2,0.039323482662439346
16,16,3,0.03867337480187416
16,16,4,0.038560617715120316
16,16,5,0.038529057055711746
16,16,6,0.03846083581447601
16,16,7,0.039201393723487854
16,16,8,0.03888435289263725
16,16,9,0.03933432325720787
16,32,0,0.09913455322384834
16,32,1,0.10845929384231567
16,32,2,0.1069524772465229
16,32,3,0.10866537317633629
16,32,4,0.11116494610905647
16,32,5,0.10848741233348846
16,32,6,0.10807998850941658
16,32,7,0.11278651282191277
16,32,8,0.10630786046385765
16,32,9,0.1099272295832634
