,query_id,query_text_id,run_id,cluster_name,rpu,num_other_concurrent_queries,y,y_pred_mean,abs_error,q_error,target_is_lower_bound,model_source,individual_loss
1062,query_200,ext_tpcds1000#015#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.9629161357879639,1.42119304339091,0.45827690760294604,1.475926085949254,False,stage,0.0
2018,query_172,ext_tpcds1000#005#003,1778829721533,autoslo-32-1778829721533-0,32,0,0.960651159286499,0.9087070226669312,0.05194413661956787,1.0571626886596726,False,stage,0.0
2908,query_257,ext_tpcds1000#020#003,1778845494039,autoslo-32-1778845494039-0,32,1,0.9585421085357666,1.397424578666687,0.4388824701309204,1.45786452293396,False,lstm,0.3769727647304535
446,query_227,ext_tpcds1000#077#001,1778845281053,autoslo-16-1778845281053-0,16,1,0.9581570625305176,3.770322799682617,2.8121657371520996,3.93497371673584,False,lstm,1.3699041604995728
1308,query_274,ext_tpcds1000#010#002,1778841695519,autoslo-32-1778841695519-0,32,1,0.9482619762420654,2.7505228519439697,1.8022608757019043,2.9005937576293945,False,lstm,1.064915418624878
3078,query_121,ext_tpcds1000#086#003,1778829721533,autoslo-32-1778829721533-0,32,0,0.9474518299102783,1.1208895842234294,0.17343775431315112,1.1830570682728803,False,stage,0.0
3285,query_54,ext_tpcds1000#021#001,1778836790029,autoslo-16-1778836790029-0,16,2,0.9449210166931152,1.9382637739181519,0.9933427572250366,2.0512442588806152,False,lstm,0.7184465527534485
868,query_39,ext_tpcds1000#063#001,1778826668997,autoslo-16-1778826668997-0,16,0,0.9420061111450195,1.010868787765503,0.0688626766204834,1.0731021548647706,False,stage,0.0
2340,query_88,ext_tpcds1000#015#001,1778841695519,autoslo-32-1778841695519-0,32,0,0.9393961429595947,0.9511498212814331,0.011753678321838379,1.0125119507993807,False,stage,0.0
1915,query_69,ext_tpcds1000#052#002,1778826668997,autoslo-16-1778826668997-0,16,2,0.9392910003662109,2.285689353942871,1.3463983535766602,2.433419942855835,False,lstm,0.889297604560852
3359,query_144,ext_tpcds1000#063#002,1778827099259,autoslo-32-1778827099259-0,32,1,0.9359409809112549,1.0089586973190308,0.07301771640777588,1.0780153274536133,False,lstm,0.07512166351079941
1089,query_168,ext_tpcds1000#054#001,1778836931383,autoslo-32-1778836931383-0,32,0,0.9333570003509521,0.8829203446706136,0.050436655680338505,1.0571248085795946,False,stage,0.0
3488,query_162,ext_tpcds1000#091#002,1778826668997,autoslo-16-1778826668997-0,16,0,0.9332420825958252,1.0434718132019043,0.1102297306060791,1.1181148307194566,False,stage,0.0
1565,query_170,ext_tpcds1000#061#001,1778834328135,autoslo-32-1778834328135-0,32,1,0.9304609298706055,0.9850372076034546,0.05457627773284912,1.0586551427841187,False,lstm,0.0569993332028389
2631,query_85,ext_tpcds1000#095#001,1778836931383,autoslo-32-1778836931383-0,32,0,0.927595853805542,0.7642549673716227,0.1633408864339193,1.2137256457693313,False,stage,0.0
3394,query_139,ext_tpcds1000#034#002,1778834328135,autoslo-32-1778834328135-0,32,0,0.9241960048675537,0.9053155183792114,0.018880486488342285,1.0208551450903482,False,stage,0.0
1897,query_131,ext_tpcds1000#034#001,1778824038818,autoslo-32-1778824038818-0,32,0,0.9239890575408936,0.9206324815750122,0.0033565759658813477,1.0036459456222302,False,stage,0.0
3384,query_54,ext_tpcds1000#021#001,1778833931287,autoslo-16-1778833931287-0,16,2,0.9217898845672607,1.9384697675704956,1.0166798830032349,2.1029410362243652,False,lstm,0.7433369159698486
1800,query_139,ext_tpcds1000#085#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.9214260578155518,1.0266950130462646,0.10526895523071289,1.114245689426536,False,stage,0.0
903,query_131,ext_tpcds1000#034#001,1778822227786,autoslo-32-1778822227786-0,32,0,0.9172759056091309,0.9206324815750122,0.0033565759658813477,1.0036592871843204,False,stage,0.0
997,query_82,ext_tpcds1000#056#002,1778836931383,autoslo-32-1778836931383-0,32,0,0.9161858558654785,2.4823244214057922,1.5661385655403137,2.7094114207437254,False,stage,0.0
3263,query_67,ext_tpcds1000#003#001,1778822227786,autoslo-32-1778822227786-0,32,1,0.9151349067687988,2.454704523086548,1.539569616317749,2.6823418140411377,False,lstm,0.9866901636123657
2721,query_133,ext_tpcds1000#029#003,1778827099259,autoslo-32-1778827099259-0,32,0,0.9139821529388428,1.9577022790908813,1.0437201261520386,2.1419480378211246,False,stage,0.0
963,query_86,ext_tpcds1000#082#002,1778845494039,autoslo-32-1778845494039-0,32,0,0.9125230312347412,0.8575249910354614,0.054998040199279785,1.0641357870315473,False,stage,0.0
